数据类型,office0,office1,office2,office3,office4,room0,room1,room2
RGB,0.215,0.159,0.202,0.205,0.193,0.168,0.118,0.242
kinectsp,0.21,0.165,0.356,0.475,0.385,0.493,0.34,0.422
alacarte,0.213,0.169,0.337,0.456,0.374,0.477,0.332,0.403
kinectsp_encoder,0.213,0.166,0.361,0.484,0.395,0.502,0.347,0.432
kinectsp_decoderembed,0.192,0.148,0.349,0.45,0.371,0.479,0.334,0.411
kinectsp_encoderembed,0.212,0.161,0.359,0.481,0.394,0.503,0.346,0.431
kinectsp_decoder,0.207,0.158,0.354,0.479,0.387,0.497,0.34,0.429
kinectsp_decoder_crossattn（self cross fuse）,0.208,0.162,0.356,0.476,0.385,0.497,0.344,0.422
kinectsp_encoder_crossattn（self cross fuse）,0.207,0.161,0.355,0.475,0.389,0.492,0.342,0.426
kinectsp_decoder_crossattn（fuse self cross）,0.211,0.164,0.353,0.477,0.381,0.495,0.338,0.423
kinectsp_encoder_crossattn（fuse self cross）,0.345,0.25,0.496,0.788,0.537,0.646,0.447,0.591
kinectsp_view2pattern,0.267,0.208,0.402,0.591,0.472,0.568,0.372,0.505
kinectsp_view2pattern2,0.228,0.179,0.346,0.453,0.393,0.491,0.351,0.466,
kinectsp_patternloss,0.382,0.261,0.406,0.545,0.464,0.479,0.373,0.457

RGB,0.215,0.159,0.202,0.205,0.193,0.168,0.118,0.242
kinectsp,0.21,0.165,0.356,0.477,0.386,0.494,0.341,0.423
embed_rays,0.187,0.145,0.333,0.432,0.356,0.463,0.321,0.395
embed_depth,0.204,0.147,0.345,0.478,0.382,0.49,0.335,0.410
inject_depth,0.209,0.146,0.343,0.49,0.382,0.491,0.335,0.411
inject_camera_rel_pose_norm,1.244,0.948,1.472,1.952,1.733,1.978,1.442,1.533
inject_camera_rel_pose,1.285,0.982,1.53,1.993,1.803,2.016,1.514,1.642
